Age,Annual_Income,Years_Experience,Family_Size,Education,Mortgage,Credit_Score,Credit_Card_Spending,Online_Banking,Fixed_Deposit,City_Tier,Loan_Approved
55,228117,29,5,Postgraduate,87767,782,51420,Yes,Yes,Tier-3,Yes
42,154593,21,1,Postgraduate,128906,697,70154,Yes,No,Tier-2,Yes
33,216366,9,3,Postgraduate,198992,738,19387,Yes,No,Tier-1,Yes
60,71999,35,5,Graduate,94173,787,63381,Yes,No,Tier-1,No
24,82530,0,4,Graduate,115344,783,7313,Yes,Yes,Tier-2,No
29,28558,4,2,Professional,314449,785,77209,Yes,Yes,Tier-2,Yes
54,62034,28,5,Postgraduate,321534,849,59221,No,Yes,Tier-1,Yes
26,66247,4,2,Graduate,0,701,60579,Yes,No,Tier-2,No
37,196103,13,4,Graduate,193478,713,99783,No,No,Tier-2,Yes
31,183458,9,3,Professional,128613,517,82122,No,Yes,Tier-2,Yes
43,102853,22,4,Graduate,0,747,96702,No,No,Tier-1,No
45,182005,22,4,Graduate,145299,584,74084,No,Yes,Tier-1,Yes
22,72947,1,2,Professional,142493,830,92895,Yes,No,Tier-1,Yes
26,104211,3,2,Postgraduate,191326,629,6922,Yes,No,Tier-2,No
60,174515,35,3,Postgraduate,141075,752,84384,Yes,No,Tier-3,Yes
48,119837,23,4,Graduate,38146,570,54347,No,No,Tier-2,No
39,37748,17,5,Postgraduate,3357,526,25862,Yes,Yes,Tier-1,No
42,94855,20,5,Postgraduate,0,533,66140,Yes,No,Tier-1,No
56,201968,29,3,Graduate,261288,569,90302,No,Yes,Tier-2,Yes
25,50491,0,3,Graduate,6385,789,98844,No,Yes,Tier-3,Yes
50,102986,29,5,Professional,257243,838,28206,Yes,No,Tier-2,No
44,123064,18,5,Graduate,71005,840,28627,Yes,No,Tier-1,No
31,108291,10,4,Postgraduate,102908,698,23889,Yes,No,Tier-1,No
31,129940,8,4,Graduate,232040,724,35783,Yes,Yes,Tier-1,Yes
42,111483,20,3,Graduate,143346,835,45169,Yes,No,Tier-2,No
46,70256,24,1,Graduate,159105,820,83531,Yes,No,Tier-2,No
22,32452,0,4,Postgraduate,117276,839,69708,Yes,No,Tier-2,Yes
44,94517,22,2,Graduate,202956,521,82077,No,No,Tier-2,No
56,217659,34,3,Graduate,62021,622,11615,Yes,No,Tier-2,No
51,241781,25,4,Graduate,229850,698,87549,Yes,Yes,Tier-3,Yes
54,131244,29,3,Graduate,382946,603,58063,No,Yes,Tier-1,Yes
37,177027,14,5,Professional,223008,825,11726,Yes,No,Tier-2,Yes
45,55791,18,1,Graduate,481917,842,64047,Yes,No,Tier-2,No
46,93111,23,4,Postgraduate,82566,610,26704,Yes,No,Tier-2,No
53,72234,29,3,Postgraduate,271757,703,49315,Yes,No,Tier-3,Yes
58,163202,33,3,Graduate,400325,841,77986,Yes,No,Tier-2,Yes
43,81396,19,1,Graduate,28228,710,86719,Yes,No,Tier-2,No
46,71121,23,3,Graduate,386503,729,92025,Yes,No,Tier-2,No
27,176818,0,5,Professional,147663,653,3893,Yes,No,Tier-3,Yes
44,177271,23,5,Postgraduate,26835,617,30931,Yes,No,Tier-2,Yes
43,183124,16,2,Postgraduate,297600,812,6633,No,No,Tier-1,Yes
55,115909,31,1,Graduate,133639,716,2946,Yes,No,Tier-2,No
58,36350,37,2,Postgraduate,277247,836,30369,Yes,Yes,Tier-1,Yes
58,47490,34,1,Graduate,15870,631,76229,Yes,No,Tier-2,No
55,122799,30,3,Graduate,106955,743,73466,Yes,No,Tier-1,Yes
36,36618,9,3,Graduate,59241,803,7037,No,No,Tier-3,No
31,144873,7,4,Postgraduate,170706,517,2692,Yes,No,Tier-1,No
46,151700,20,4,Graduate,202317,594,9933,No,No,Tier-2,No
50,164418,23,1,Professional,0,831,28140,Yes,Yes,Tier-2,Yes
38,174762,11,3,Graduate,193710,594,98633,Yes,Yes,Tier-1,Yes
44,173929,20,2,Postgraduate,177175,684,46116,Yes,No,Tier-2,Yes
48,234074,21,1,Postgraduate,318047,829,79606,Yes,No,Tier-1,Yes
30,125699,5,3,Graduate,216506,610,38133,Yes,No,Tier-1,No
40,62038,16,3,Graduate,165182,832,62610,No,No,Tier-3,Yes
35,197870,9,2,Graduate,61853,612,16308,Yes,Yes,Tier-2,No
45,189145,21,1,Graduate,156271,778,16506,Yes,No,Tier-1,No
34,75971,12,3,Graduate,22727,591,20610,Yes,No,Tier-2,No
48,215944,24,1,Graduate,163246,779,34230,Yes,Yes,Tier-1,Yes
38,242033,11,5,Graduate,210890,818,72219,Yes,Yes,Tier-1,Yes
55,165262,30,2,Professional,90473,732,47760,Yes,No,Tier-1,Yes
38,211443,11,4,Graduate,221477,686,85232,No,No,Tier-3,Yes
46,30730,24,3,Graduate,274342,809,16997,Yes,No,Tier-1,No
42,127484,20,5,Professional,334256,564,32341,Yes,No,Tier-2,Yes
50,47092,27,2,Postgraduate,137588,846,23292,Yes,Yes,Tier-3,Yes
27,26073,3,3,Graduate,1313,636,71876,Yes,No,Tier-2,No
33,233048,6,4,Graduate,367141,524,63497,Yes,No,Tier-1,No
31,239669,9,3,Graduate,0,724,95847,Yes,No,Tier-1,Yes
55,150629,34,4,Graduate,23288,844,32607,Yes,No,Tier-2,Yes
29,198696,7,3,Graduate,148164,835,26299,No,No,Tier-2,No
41,227361,15,1,Graduate,0,587,61123,Yes,No,Tier-1,No
29,96833,5,1,Graduate,161294,598,8008,No,No,Tier-2,No
22,192516,0,4,Professional,33194,507,2066,Yes,Yes,Tier-3,Yes
55,134028,30,2,Professional,270856,640,18932,Yes,No,Tier-2,No
43,67598,16,5,Professional,270525,722,24616,Yes,Yes,Tier-1,Yes
45,28084,23,4,Graduate,65935,569,79506,Yes,No,Tier-2,No
39,137341,16,4,Graduate,221572,715,70968,Yes,No,Tier-3,Yes
39,145419,12,3,Postgraduate,73885,643,89029,Yes,Yes,Tier-1,Yes
37,184422,12,5,Professional,65921,505,67431,Yes,No,Tier-1,No
44,101106,22,3,Graduate,255917,783,15386,No,Yes,Tier-3,No
59,160994,36,4,Graduate,225746,608,4716,Yes,No,Tier-1,No
60,75906,34,4,Graduate,220743,622,72474,Yes,No,Tier-2,No
37,118922,12,3,Postgraduate,296183,594,32480,Yes,Yes,Tier-2,Yes
35,247789,12,2,Postgraduate,276884,763,55634,Yes,No,Tier-1,Yes
52,247463,26,4,Postgraduate,142689,735,28957,Yes,No,Tier-2,Yes
51,28775,26,1,Graduate,176577,846,16645,Yes,No,Tier-3,No
40,76796,15,5,Postgraduate,48900,835,53702,No,No,Tier-1,Yes
59,74112,34,5,Professional,198382,515,49922,Yes,Yes,Tier-2,Yes
29,246034,5,2,Graduate,188601,596,2215,Yes,Yes,Tier-1,No
53,150211,31,1,Postgraduate,170167,687,30229,Yes,Yes,Tier-2,Yes
33,233311,11,5,Postgraduate,265284,578,90721,No,Yes,Tier-2,Yes
23,125422,1,2,Postgraduate,218245,569,39333,No,No,Tier-1,Yes
49,77116,27,1,Graduate,0,678,87119,No,Yes,Tier-3,No
44,231207,17,3,Graduate,87943,684,43910,Yes,No,Tier-2,No
49,214938,28,2,Graduate,23240,706,85053,No,No,Tier-1,Yes
54,49354,32,5,Graduate,22979,840,62892,Yes,Yes,Tier-2,Yes
36,230291,13,5,Graduate,111358,599,51737,Yes,Yes,Tier-3,Yes
27,223763,0,2,Graduate,121080,705,80863,Yes,No,Tier-1,Yes
57,232499,31,1,Postgraduate,169608,697,32930,Yes,No,Tier-1,Yes
27,107987,4,2,Postgraduate,6525,535,78396,No,Yes,Tier-2,Yes
53,128247,26,5,Graduate,8859,533,65656,Yes,No,Tier-3,No
27,74768,6,5,Graduate,208507,723,37333,Yes,Yes,Tier-2,Yes
37,167432,15,3,Graduate,267466,555,20984,Yes,No,Tier-2,No
22,242726,0,2,Professional,0,770,22056,Yes,Yes,Tier-2,Yes
30,52160,5,3,Graduate,175787,619,33376,Yes,No,Tier-1,No
44,28720,20,1,Graduate,0,805,53567,Yes,No,Tier-1,No
49,188991,27,5,Professional,38692,544,80929,Yes,No,Tier-1,No
40,98591,13,3,Graduate,278313,704,58398,Yes,Yes,Tier-3,Yes
46,38016,24,2,Graduate,283014,630,65456,No,No,Tier-2,No
23,194834,2,2,Graduate,200171,807,59204,Yes,Yes,Tier-2,No
21,40896,0,2,Postgraduate,421059,647,81183,Yes,Yes,Tier-1,Yes
53,78785,32,5,Graduate,68603,567,30412,Yes,No,Tier-3,No
46,132051,25,5,Postgraduate,287137,648,74603,Yes,Yes,Tier-1,Yes
33,203966,12,4,Postgraduate,298603,775,6994,Yes,No,Tier-3,Yes
39,142409,15,5,Postgraduate,0,517,22659,No,No,Tier-1,No
39,190637,15,3,Professional,148638,803,62038,No,Yes,Tier-2,Yes
43,116828,18,1,Postgraduate,80322,827,68708,No,No,Tier-3,Yes
34,49054,8,2,Professional,76633,618,5240,No,Yes,Tier-2,No
21,130227,0,4,Graduate,273968,620,5203,Yes,Yes,Tier-1,No
26,54063,1,3,Graduate,271421,639,41752,Yes,Yes,Tier-1,No
41,165399,17,5,Graduate,289814,741,91044,No,Yes,Tier-1,Yes
43,187696,22,2,Postgraduate,152625,745,9868,Yes,Yes,Tier-3,No
37,218586,15,3,Graduate,152162,840,40968,Yes,No,Tier-2,No
52,133491,30,3,Graduate,206715,679,16249,Yes,No,Tier-1,Yes
60,66302,35,1,Postgraduate,87496,725,59939,Yes,No,Tier-2,Yes
44,162799,19,4,Graduate,0,842,43136,No,No,Tier-3,Yes
60,237803,38,3,Postgraduate,39857,750,89759,Yes,No,Tier-1,Yes
25,233281,0,5,Graduate,72538,758,70199,Yes,No,Tier-1,No
48,244729,23,5,Postgraduate,178238,781,54311,Yes,Yes,Tier-2,Yes
35,93580,10,5,Graduate,85187,807,4892,Yes,Yes,Tier-3,No
27,128463,3,3,Graduate,218640,564,97107,Yes,No,Tier-1,No
47,198542,22,3,Graduate,65432,688,72247,Yes,Yes,Tier-1,Yes
57,246439,36,4,Postgraduate,354534,783,29959,Yes,No,Tier-1,Yes
34,228850,12,4,Postgraduate,2601,570,13831,Yes,No,Tier-3,Yes
35,113741,8,5,Graduate,61056,503,17198,Yes,No,Tier-3,No
56,143884,33,1,Professional,72686,645,7629,Yes,Yes,Tier-2,Yes
35,52675,13,4,Graduate,44104,717,59104,Yes,Yes,Tier-2,Yes
59,152536,33,4,Postgraduate,0,823,20646,Yes,No,Tier-2,No
51,134934,28,3,Postgraduate,180746,579,98952,No,No,Tier-2,Yes
50,159563,27,1,Graduate,208012,741,40523,Yes,No,Tier-2,Yes
51,65633,24,5,Graduate,84676,644,70593,No,No,Tier-2,No
56,58635,32,4,Professional,261760,799,17366,Yes,Yes,Tier-1,Yes
30,44423,8,1,Graduate,138133,627,21122,Yes,Yes,Tier-3,No
50,242136,29,1,Postgraduate,267081,684,54797,Yes,No,Tier-2,No
56,220889,35,5,Postgraduate,130810,791,83515,Yes,No,Tier-3,Yes
41,143910,15,4,Graduate,262380,681,43115,Yes,No,Tier-1,No
39,26407,18,1,Postgraduate,102199,539,46354,Yes,No,Tier-1,Yes
54,49502,27,3,Graduate,292244,586,84768,Yes,No,Tier-2,No
40,181688,17,2,Graduate,281033,745,53962,Yes,No,Tier-1,No
45,221292,19,4,Postgraduate,258412,784,53012,Yes,No,Tier-2,Yes
44,249970,21,1,Professional,142515,713,62186,Yes,No,Tier-1,Yes
21,174001,0,3,Graduate,128680,602,70475,Yes,No,Tier-1,No
59,121176,34,2,Professional,345788,826,23411,Yes,No,Tier-1,Yes
28,235098,5,2,Graduate,224633,719,76755,No,Yes,Tier-3,Yes
34,132669,7,4,Graduate,199515,850,98395,No,No,Tier-1,Yes
59,203833,37,2,Postgraduate,77711,607,16457,No,No,Tier-1,No
59,90185,33,2,Postgraduate,51085,543,85021,No,No,Tier-1,No
42,36826,19,5,Graduate,231991,675,77020,Yes,Yes,Tier-1,No
26,82042,1,2,Graduate,12950,503,18535,No,No,Tier-1,Yes
55,67462,31,1,Postgraduate,153471,823,92925,No,No,Tier-2,Yes
55,76024,34,2,Graduate,0,670,96202,No,Yes,Tier-3,No
32,148607,7,4,Professional,40063,512,12024,Yes,No,Tier-2,No
60,159479,35,3,Graduate,253286,826,28505,Yes,No,Tier-1,No
27,124397,6,4,Graduate,0,698,52726,No,No,Tier-2,No
26,206413,4,4,Graduate,274215,664,26624,Yes,No,Tier-2,Yes
58,34589,33,5,Graduate,203467,819,78425,Yes,No,Tier-3,No
36,42205,10,3,Graduate,397589,814,89876,Yes,No,Tier-3,No
47,61701,25,5,Graduate,185886,627,67030,Yes,Yes,Tier-1,No
54,61404,27,2,Postgraduate,235887,681,39500,Yes,No,Tier-2,No
49,60187,26,1,Professional,164337,702,66922,Yes,No,Tier-1,No
56,29042,29,2,Professional,505573,602,63720,No,No,Tier-1,No
30,230380,9,2,Graduate,279078,729,50542,Yes,Yes,Tier-2,No
26,83032,3,2,Postgraduate,218816,845,91317,Yes,Yes,Tier-1,Yes
36,34472,11,3,Professional,237388,850,68060,Yes,No,Tier-1,Yes
58,36353,36,3,Graduate,128384,596,14916,Yes,Yes,Tier-1,No
41,132967,17,2,Postgraduate,213889,748,51756,Yes,Yes,Tier-2,Yes
36,233675,12,5,Graduate,164885,731,99372,Yes,Yes,Tier-2,Yes
53,204704,32,1,Postgraduate,74893,715,28572,Yes,No,Tier-2,Yes
43,247428,18,2,Graduate,45689,801,78312,No,No,Tier-1,Yes
45,103972,22,5,Graduate,108844,552,92937,Yes,No,Tier-1,No
59,242623,35,1,Graduate,92897,736,87469,Yes,No,Tier-2,Yes
46,215912,19,2,Postgraduate,141683,527,51103,Yes,No,Tier-1,Yes
35,105632,13,3,Postgraduate,255790,824,66994,Yes,Yes,Tier-3,Yes
43,138606,20,3,Graduate,148305,548,13801,Yes,No,Tier-1,No
52,43051,28,2,Postgraduate,161144,687,40967,Yes,No,Tier-1,No
36,157921,13,1,Graduate,0,806,46565,Yes,No,Tier-3,Yes
24,133835,0,5,Graduate,111565,565,3044,Yes,Yes,Tier-1,No
46,26620,25,4,Postgraduate,42412,572,41390,No,Yes,Tier-2,Yes
53,46602,31,2,Graduate,128172,710,48202,No,No,Tier-2,No
32,55562,7,1,Graduate,166582,531,70681,No,No,Tier-1,No
56,127499,34,1,Graduate,0,669,65644,Yes,Yes,Tier-2,Yes
59,222327,36,3,Graduate,19179,561,47929,Yes,Yes,Tier-3,Yes
45,89824,19,5,Graduate,176668,792,39383,Yes,No,Tier-1,No
29,165319,8,3,Graduate,159331,703,93164,No,No,Tier-1,Yes
23,217941,0,1,Postgraduate,198520,530,83899,No,Yes,Tier-1,Yes
30,25767,7,1,Postgraduate,40524,785,78870,Yes,No,Tier-1,No
44,210541,21,4,Postgraduate,124084,510,61238,No,Yes,Tier-2,No
42,217180,19,2,Graduate,262497,529,11479,No,No,Tier-1,No
39,177324,16,3,Graduate,156703,689,33826,Yes,Yes,Tier-2,Yes
39,234124,16,1,Graduate,112842,778,95721,Yes,No,Tier-2,No
46,184876,20,5,Graduate,71604,517,11969,Yes,No,Tier-2,No
21,217385,0,2,Graduate,157230,715,88673,Yes,No,Tier-1,Yes
49,175713,23,2,Postgraduate,234412,650,97335,Yes,No,Tier-2,Yes
29,90614,5,2,Professional,408591,725,15362,No,Yes,Tier-1,No
26,248990,5,3,Graduate,0,593,48531,No,No,Tier-2,No
33,36560,11,5,Graduate,237792,523,70706,Yes,No,Tier-3,No
35,70406,13,1,Graduate,0,714,97041,Yes,No,Tier-1,No
34,102567,13,1,Graduate,324,845,30561,Yes,No,Tier-3,No
26,150942,2,4,Graduate,295193,743,15186,No,No,Tier-1,No
50,133612,29,5,Professional,282274,598,31680,Yes,No,Tier-1,Yes
48,164195,21,3,Graduate,154515,726,58321,Yes,No,Tier-1,Yes
49,120251,22,5,Graduate,117179,524,70993,No,Yes,Tier-1,Yes
21,124122,0,5,Graduate,59726,790,95789,Yes,No,Tier-1,Yes
23,237859,0,4,Postgraduate,173376,603,37031,Yes,No,Tier-1,Yes
59,112640,33,4,Graduate,85829,576,62091,Yes,No,Tier-1,No
42,237175,21,2,Professional,185396,804,22625,No,No,Tier-1,Yes
46,156025,21,5,Graduate,313281,778,29626,No,No,Tier-1,No
59,128863,34,2,Graduate,153186,737,58096,No,No,Tier-1,Yes
37,231354,14,3,Postgraduate,460056,829,64665,No,Yes,Tier-2,Yes
50,110374,29,3,Postgraduate,299855,511,4850,Yes,No,Tier-1,No
26,29055,3,4,Postgraduate,176922,758,94115,No,Yes,Tier-2,Yes
54,249174,27,5,Professional,80511,681,5782,Yes,No,Tier-1,No
52,205109,28,2,Graduate,231625,837,95220,Yes,No,Tier-3,Yes
42,118650,16,5,Graduate,126138,734,44942,No,No,Tier-2,No
39,107315,12,3,Graduate,179734,629,55331,Yes,No,Tier-3,No
46,68890,23,4,Graduate,342155,622,95831,No,No,Tier-1,No
30,156042,9,3,Graduate,33271,577,58247,Yes,Yes,Tier-2,Yes
39,29655,13,5,Graduate,211703,805,19558,Yes,Yes,Tier-2,No
55,102924,30,2,Graduate,0,836,61946,Yes,No,Tier-1,No
32,156841,5,5,Graduate,111651,634,20653,No,Yes,Tier-3,No
44,52909,21,2,Graduate,147428,667,52222,Yes,No,Tier-1,No
32,95968,9,4,Postgraduate,146591,698,61274,Yes,Yes,Tier-3,Yes
38,32373,16,4,Graduate,22293,599,57556,Yes,Yes,Tier-2,No
46,210784,21,2,Graduate,148818,591,57206,Yes,Yes,Tier-2,Yes
24,161681,2,4,Graduate,249253,822,15163,Yes,No,Tier-3,No
31,230671,8,5,Graduate,168956,789,4105,Yes,No,Tier-1,No
45,104731,19,4,Postgraduate,111253,526,65079,Yes,No,Tier-1,No
34,62792,12,3,Professional,221339,758,15777,No,No,Tier-3,No
60,186771,35,3,Graduate,414663,682,89908,Yes,No,Tier-3,No
39,176007,16,1,Postgraduate,293920,788,59853,Yes,No,Tier-2,Yes
54,143920,27,3,Professional,20762,689,26502,Yes,No,Tier-1,No
59,184978,36,1,Graduate,274306,635,54021,Yes,Yes,Tier-1,Yes
37,159304,10,4,Postgraduate,16733,612,35172,Yes,Yes,Tier-2,Yes
33,172520,9,1,Graduate,0,509,2968,No,No,Tier-2,Yes
45,103858,19,4,Postgraduate,246964,555,82771,No,No,Tier-1,No
58,191742,34,4,Graduate,48232,521,36268,No,No,Tier-2,Yes
32,212398,9,2,Graduate,220584,832,56646,Yes,No,Tier-1,Yes
49,99353,25,4,Graduate,141856,722,19127,Yes,No,Tier-2,No
28,32903,2,3,Postgraduate,223410,728,73545,No,No,Tier-2,No
55,154070,28,3,Professional,346565,666,54772,No,No,Tier-2,Yes
53,203157,32,2,Graduate,288663,635,91494,No,No,Tier-2,No
40,80823,19,3,Postgraduate,174407,665,28149,Yes,No,Tier-1,No
32,45982,11,1,Graduate,182282,602,10593,No,Yes,Tier-3,No
54,51853,28,1,Graduate,195315,709,38495,No,Yes,Tier-2,Yes
30,212063,9,4,Graduate,335497,778,70921,Yes,No,Tier-1,No
40,93274,14,5,Postgraduate,281823,830,3909,Yes,Yes,Tier-2,Yes
27,91425,6,1,Postgraduate,238525,612,3067,Yes,No,Tier-3,No
38,199124,14,3,Graduate,21129,814,20608,No,No,Tier-3,No
54,218507,29,1,Graduate,21157,774,88338,Yes,No,Tier-1,Yes
28,73367,6,4,Graduate,159729,794,44495,Yes,No,Tier-1,No
21,37336,0,5,Graduate,119085,626,64672,No,No,Tier-3,No
29,236979,6,4,Postgraduate,141643,640,40889,No,Yes,Tier-3,No
31,32869,6,2,Graduate,353087,695,28442,Yes,No,Tier-2,No
41,183635,17,3,Graduate,181747,576,8372,Yes,No,Tier-3,Yes
27,225658,1,3,Professional,423099,685,19733,No,No,Tier-1,No
45,77960,18,1,Postgraduate,47733,517,50137,Yes,Yes,Tier-2,Yes
23,109433,2,3,Postgraduate,178121,652,59857,Yes,Yes,Tier-1,Yes
33,235404,6,1,Postgraduate,264531,666,24995,Yes,Yes,Tier-2,Yes
36,70687,12,5,Graduate,269010,565,3102,No,No,Tier-2,No
33,89800,8,2,Graduate,171488,833,91922,Yes,No,Tier-2,No
34,68019,10,4,Professional,270015,556,26406,Yes,No,Tier-2,No
26,39691,2,3,Graduate,442469,654,28872,Yes,Yes,Tier-1,No
44,118848,19,2,Graduate,179069,745,15026,Yes,No,Tier-1,No
31,88755,9,2,Postgraduate,0,638,40179,Yes,No,Tier-2,No
44,51751,17,5,Graduate,339775,758,97018,Yes,No,Tier-1,No
48,95793,22,1,Professional,112840,570,23390,No,Yes,Tier-1,No
54,163905,27,2,Postgraduate,0,712,99427,No,Yes,Tier-1,Yes
40,36345,19,1,Postgraduate,251818,791,46484,Yes,No,Tier-2,Yes
33,142399,7,2,Graduate,218922,574,27762,Yes,No,Tier-1,No
48,124612,25,3,Graduate,106167,686,33629,Yes,Yes,Tier-1,Yes
46,209704,21,2,Graduate,280937,628,90648,Yes,Yes,Tier-1,Yes
29,123408,3,2,Postgraduate,115111,798,21622,Yes,Yes,Tier-2,Yes
25,242984,2,5,Professional,317963,827,43916,Yes,No,Tier-2,No
30,198559,6,5,Postgraduate,193997,588,68961,No,No,Tier-1,Yes
29,81866,8,5,Postgraduate,129387,610,18142,No,No,Tier-1,No
43,161262,16,4,Graduate,269164,604,30549,Yes,No,Tier-1,No
26,229580,0,2,Postgraduate,202209,653,44531,Yes,No,Tier-2,Yes
36,91354,10,2,Graduate,113343,626,97057,Yes,Yes,Tier-2,No
35,101675,11,5,Graduate,173286,730,94476,Yes,Yes,Tier-1,Yes
35,123843,8,5,Graduate,281090,638,57612,Yes,No,Tier-2,No
41,119924,18,2,Postgraduate,136621,792,5203,Yes,No,Tier-2,No
32,25801,9,2,Professional,323016,825,11969,No,Yes,Tier-1,Yes
28,136023,6,5,Graduate,205587,824,21569,Yes,Yes,Tier-2,Yes
40,91324,18,1,Postgraduate,127414,653,77677,No,Yes,Tier-2,Yes
26,106741,2,2,Graduate,335758,678,99008,Yes,No,Tier-2,No
31,194087,4,2,Graduate,38538,844,14818,No,Yes,Tier-1,Yes
45,131305,23,1,Professional,47815,584,20847,Yes,No,Tier-2,No
52,175453,30,4,Graduate,150752,692,69560,Yes,No,Tier-3,Yes
34,126925,10,5,Postgraduate,404522,668,16274,Yes,No,Tier-2,No
51,51425,29,2,Graduate,122615,780,46990,Yes,No,Tier-2,No
42,120696,18,1,Postgraduate,244801,664,90031,Yes,Yes,Tier-1,Yes
28,130475,5,4,Postgraduate,121131,546,67629,No,Yes,Tier-1,Yes
24,244786,0,5,Graduate,310563,755,30261,Yes,No,Tier-1,No
33,167412,11,4,Postgraduate,270909,765,77133,Yes,No,Tier-3,Yes
40,32310,19,1,Professional,204434,802,47679,No,Yes,Tier-3,Yes
32,152571,6,3,Postgraduate,58889,562,35725,No,No,Tier-1,Yes
35,46329,8,4,Graduate,100677,817,89502,Yes,Yes,Tier-2,No
31,244292,4,1,Graduate,272594,587,48930,Yes,No,Tier-3,No
54,204000,27,5,Graduate,3697,675,22460,No,Yes,Tier-1,No
34,202443,12,1,Graduate,137491,509,38912,No,Yes,Tier-2,Yes
25,217070,2,1,Graduate,270015,575,87149,Yes,Yes,Tier-3,Yes
22,114110,0,3,Professional,95013,508,67548,Yes,No,Tier-2,No
21,200505,0,3,Postgraduate,130749,799,36413,Yes,Yes,Tier-1,Yes
56,127547,30,1,Graduate,450108,639,59745,No,Yes,Tier-3,Yes
41,161984,18,1,Graduate,129284,615,15663,Yes,Yes,Tier-2,No
25,50192,2,3,Graduate,226641,617,87597,Yes,No,Tier-1,No
45,75575,18,2,Graduate,389242,610,23686,Yes,No,Tier-1,No
43,208623,19,4,Professional,36601,592,36112,Yes,No,Tier-3,Yes
59,188030,35,5,Graduate,292337,514,53977,Yes,Yes,Tier-3,Yes
37,104198,13,2,Postgraduate,334838,753,21420,Yes,Yes,Tier-3,No
34,195923,7,2,Graduate,132348,604,9689,No,No,Tier-2,No
35,47228,11,5,Professional,0,823,85694,Yes,No,Tier-2,Yes
60,194771,34,3,Graduate,56815,556,58893,Yes,No,Tier-3,No
50,80654,23,2,Professional,146093,764,81646,Yes,Yes,Tier-3,Yes
51,221787,29,1,Postgraduate,56088,787,66947,Yes,Yes,Tier-1,Yes
35,52213,12,3,Graduate,234843,743,25396,Yes,Yes,Tier-3,No
29,27015,6,5,Professional,0,843,55260,No,Yes,Tier-3,Yes
44,211905,19,4,Postgraduate,114539,581,80315,Yes,Yes,Tier-3,Yes
49,128107,27,1,Professional,0,697,27287,Yes,No,Tier-2,No
59,105770,32,4,Graduate,310066,806,92382,No,No,Tier-1,No
30,178189,4,1,Professional,80807,698,71918,Yes,No,Tier-3,Yes
60,68013,34,1,Postgraduate,61444,702,49928,Yes,Yes,Tier-2,Yes
33,173362,9,5,Professional,224512,733,9939,Yes,Yes,Tier-2,No
59,234019,37,1,Professional,99111,655,69643,Yes,No,Tier-1,Yes
22,157631,0,4,Postgraduate,252808,781,24391,Yes,No,Tier-3,Yes
31,218609,8,1,Graduate,197765,610,80553,Yes,No,Tier-1,No
26,176756,0,5,Graduate,111587,824,80627,Yes,Yes,Tier-1,No
37,40261,12,4,Postgraduate,0,564,34544,Yes,Yes,Tier-1,Yes
50,218080,29,1,Professional,208821,588,58768,Yes,Yes,Tier-3,Yes
49,193369,27,1,Graduate,240587,560,77312,Yes,No,Tier-3,No
24,238968,2,5,Professional,0,746,76519,No,Yes,Tier-2,Yes
44,140400,18,4,Postgraduate,180903,588,97707,Yes,Yes,Tier-1,Yes
51,247426,27,1,Graduate,304747,618,18766,Yes,Yes,Tier-1,No
47,182220,21,1,Graduate,154262,835,92068,Yes,No,Tier-3,Yes
42,55782,18,1,Postgraduate,1584,667,35957,Yes,No,Tier-2,No
22,150291,0,2,Graduate,96594,836,17831,Yes,No,Tier-2,No
60,246013,38,5,Postgraduate,16221,788,11677,No,Yes,Tier-2,Yes
34,106371,9,3,Postgraduate,293629,836,63562,Yes,No,Tier-1,Yes
32,111038,6,5,Postgraduate,8670,715,58888,Yes,No,Tier-2,Yes
41,147834,16,4,Postgraduate,581936,566,67532,Yes,Yes,Tier-2,Yes
24,39260,0,3,Postgraduate,356689,573,34430,No,No,Tier-1,No
51,183187,30,3,Postgraduate,173956,784,51752,Yes,Yes,Tier-2,No
34,63897,11,1,Graduate,208571,650,45284,No,Yes,Tier-3,No
58,29695,35,1,Graduate,362100,746,24331,No,No,Tier-1,No
42,150261,21,1,Graduate,165552,554,13109,Yes,Yes,Tier-1,No
51,237079,25,1,Graduate,258718,637,40985,Yes,Yes,Tier-1,No
48,45946,21,5,Graduate,55814,568,25671,Yes,No,Tier-1,No
43,129733,19,2,Graduate,362722,808,19158,Yes,No,Tier-3,No
24,58697,0,1,Graduate,72899,759,64502,Yes,No,Tier-3,No
41,84052,14,2,Postgraduate,232047,561,51950,Yes,Yes,Tier-2,No
46,71728,24,3,Professional,35084,640,68433,Yes,Yes,Tier-1,Yes
31,209736,6,4,Postgraduate,263611,508,41384,No,No,Tier-2,Yes
49,224184,25,1,Graduate,213707,806,89889,Yes,No,Tier-2,Yes
53,170818,28,4,Postgraduate,252976,609,18226,Yes,Yes,Tier-1,Yes
31,68351,10,4,Graduate,232302,769,29657,Yes,No,Tier-1,No
36,93666,12,1,Postgraduate,0,648,40165,Yes,Yes,Tier-2,Yes
28,180855,6,5,Postgraduate,209832,773,17185,No,No,Tier-1,Yes
25,67678,2,2,Postgraduate,240448,594,56816,No,No,Tier-3,No
58,118608,31,3,Graduate,82382,528,45151,Yes,No,Tier-3,No
25,217779,4,3,Postgraduate,146021,713,11777,Yes,Yes,Tier-2,Yes
47,104459,22,1,Postgraduate,263408,832,79583,Yes,No,Tier-1,Yes
